,STATION,TIME,ENTRIES,EXITS,ENTRIES_COUNT,EXITS_COUNT,FTRAFFIC
137,125 ST,Tue Mor,107257810.89273928,62246883.45379538,355.1089108910891,253.05775577557756,608.1666666666666
138,125 ST,Wed Aft,135630597.89664084,76428462.30232558,470.12661498708013,342.34625322997414,812.4728682170543
139,125 ST,Wed Mor,108211048.9193038,63293039.412974685,346.05537974683546,245.51582278481013,591.5712025316456
140,135 ST,Fri Aft,10677662.714975845,2046127.7995169081,217.28502415458937,85.17391304347827,302.45893719806764
141,135 ST,Fri Mor,8189612.365079365,1810681.4634920636,234.2825396825397,68.85714285714286,303.13968253968255
142,135 ST,Mon Aft,10699813.859564165,2049535.832929782,175.38983050847457,68.65133171912834,244.0411622276029
143,135 ST,Mon Mor,8218857.255591054,1793041.4856230032,184.3897763578275,54.2555910543131,238.6453674121406
144,135 ST,Sat Aft,10809511.607843136,2048740.544117647,140.07843137254903,47.46568627450981,187.5441176470588
145,135 ST,Sat Mor,8232803.607028754,1819776.0990415337,98.42811501597444,25.623003194888177,124.05111821086263
146,135 ST,Sun Aft,10725111.29854369,2054246.104368932,117.42233009708738,39.25485436893204,156.6771844660194
147,135 ST,Sun Mor,8210916.066878981,1814704.8439490446,77.21656050955414,20.576433121019107,97.79299363057325
148,135 ST,Thu Aft,10581132.362530414,2003773.3527980535,216.12652068126522,83.59610705596107,299.7226277372263
149,135 ST,Thu Mor,8218455.709265175,1809063.85942492,241.57827476038338,67.2332268370607,308.8115015974441
150,135 ST,Tue Aft,10699113.05811138,2048978.1113801452,208.62227602905568,85.32929782082324,293.9515738498789
151,135 ST,Tue Mor,8078904.49375,1814937.171875,240.85625,70.2125,311.06875
152,135 ST,Wed Aft,10675792.263285024,2045343.0990338165,215.4951690821256,85.82608695652173,301.32125603864733
153,135 ST,Wed Mor,8014832.349845201,1815987.1393188855,242.70897832817337,69.42414860681114,312.13312693498455
154,137 ST CITY COL,Fri Aft,38424183.2,89287422.86666666,319.2111111111111,217.3,536.5111111111111
155,137 ST CITY COL,Fri Mor,36919888.694736846,84743566.92631578,367.5684210526316,129.69473684210527,497.2631578947368
156,137 ST CITY COL,Mon Aft,38418725.38888889,89283431.01666667,277.39444444444445,182.36666666666667,459.7611111111111
157,137 ST CITY COL,Mon Mor,38418315.333333336,89283213.0,303.8333333333333,103.86666666666666,407.7
158,137 ST CITY COL,Sat Aft,38416836.12777778,89282043.51111111,284.2611111111111,171.57777777777778,455.8388888888889
159,137 ST CITY COL,Sat Mor,38416408.62222222,89281836.18888889,154.9111111111111,61.333333333333336,216.24444444444444
160,137 ST CITY COL,Sun Aft,38417688.48888889,89282737.06666666,222.04444444444445,121.0111111111111,343.05555555555554
161,137 ST CITY COL,Sun Mor,38417356.56666667,89282592.72222222,91.56666666666666,41.62222222222222,133.1888888888889
162,137 ST CITY COL,Thu Aft,39239601.657142855,91753017.73714286,331.66285714285715,226.61714285714285,558.28
163,137 ST CITY COL,Thu Mor,38422337.844444446,89286138.57777777,404.8222222222222,130.67777777777778,535.5
164,137 ST CITY COL,Tue Aft,38420042.905555554,89284363.28333333,314.8277777777778,217.9,532.7277777777778
165,137 ST CITY COL,Tue Mor,38419576.36666667,89284101.41111112,409.6666666666667,135.3,544.9666666666667
166,137 ST CITY COL,Wed Aft,38421435.18333333,89285375.77777778,321.6111111111111,226.75,548.3611111111111
167,137 ST CITY COL,Wed Mor,36879165.094736844,84732694.76842105,400.6421052631579,131.7263157894737,532.3684210526316
168,138/GRAND CONC,Fri Aft,332496763.2083333,321059933.2916667,290.3541666666667,244.79166666666666,535.1458333333334
169,138/GRAND CONC,Fri Mor,332496197.9791667,321059459.625,254.41666666666666,192.54166666666666,446.9583333333333
170,138/GRAND CONC,Mon Aft,332535931.3148148,321094633.7592593,224.35185185185185,188.42592592592592,412.77777777777777
171,138/GRAND CONC,Mon Mor,332535496.4444444,321094275.2962963,190.77777777777777,145.94444444444446,336.72222222222223
172,138/GRAND CONC,Sat Aft,332534674.8518519,321093439.0740741,143.5185185185185,136.83333333333334,280.35185185185185
173,138/GRAND CONC,Sat Mor,332534389.5555556,321093176.6111111,102.92592592592592,103.18518518518519,206.11111111111111
174,138/GRAND CONC,Sun Aft,332535103.9814815,321093902.1851852,98.11111111111111,100.48148148148148,198.59259259259258
175,138/GRAND CONC,Sun Mor,332534912.5740741,321093725.9814815,65.0,52.72222222222222,117.72222222222223
176,138/GRAND CONC,Thu Aft,332539570.7592593,321097697.4259259,289.4259259259259,241.44444444444446,530.8703703703703
177,138/GRAND CONC,Thu Mor,332539006.7222222,321097230.2777778,257.5,194.0,451.5
178,138/GRAND CONC,Tue Aft,332537093.2962963,321095632.9074074,291.98148148148147,249.07407407407408,541.0555555555555
179,138/GRAND CONC,Tue Mor,332536521.2777778,321095146.6666667,264.0740740740741,199.61111111111111,463.68518518518516
